course,grade,citz,satv,satm,acten,actma,actr,actsc,actc,hsgpa,hspercen,acadrate,reclevel,place1,place2,placetot
M121,W,USA,,,27,20,23,19,22,3.41,0.937759336,4,2,2,3,5
M121,C,USA,,,23,20,28,17,22,3.72,0.853700516,2,2,8,7,15
M121,B-,USA,,,31,20,28,26,26,3.63,,3,2,9,4,13
M121,B-,USA,,,20,20,20,23,21,3.38,,4,2,3,4,7
M121,C-,USA,,,27,20,28,24,25,3.42,,3,2,,,
M121,B,USA,,,30,20,32,24,27,3.09,0.905263158,3,2, , ,
M121,D,USA,,,31,20,33,24,26,3,0.809,4,2,5,6,11
M121,D,USA,,,23,20,24,23,22,3.25,,4,2,9,6,15
M121,C-,,,,34,20,35,28,29,2.85,0.65,4,2,4,3,7
M121,D,INT,,,20,19,29,18,22,3.34,,3,1,2,0,2
M145,B-,USA,,,18,19,23,22,21,3.5,,5,2,,,
M131,W,USA,,,23,19,19,18,20,3.47,0.85,4,1,,,
M131,C+,USA,,,15,19,22,22,20,2.71,,4,2,5,2,7
M121,B-,USA,,,26,19,31,25,25,3.29,0.86,3,2,6,7,13
M121,B-,USA,,,22,19,23,17,20,2.6,,4,1,,,
M121,D,USA,,,24,19,31,23,24,2.5,0.56,5,1,7,1,8
M121,B,USA,,,26,19,24,25,24,2.72,,4,2,8,7,15
M121,W,USA,,,22,19,19,19,20,,,,1,,,
M121,W,USA,,,25,19,16,20,20,3.17,,1,2,2,3,5
M121,B,USA,,,26,19,33,20,25,3.39,,3,2,4,4,8
M121,C,USA,490,450,21,19,22,21,21,3.29,0.681318681,4,1,1,4,5
M121,B+,USA,,,26,19,28,20,23,3.79,0.976146789,4,2,5,6,11
M121,W,USA,,,20,19,17,20,19,3.29,,4,2,,,
M121,B-,USA,,,22,19,22,22,21,3.55,0.89375,5,2,5,5,10
M121,D,USA,,,20,19,24,23,22,3.36,0.969,3,2,5,3,8
M121,B,USA,,,35,19,31,27,28,3.32,,4,2,5,4,9
M121,B+,USA,,,31,19,29,24,25,3.69,,2,2,9,2,11
M121,C,USA,,,32,19,26,22,24,3.56,0.861,3,2,5,1,6
M121,C,USA,,,30,19,29,24,25,4,0.932,3,2,,,
M121,B,,,,24,19,25,21,22,3.76,0.97,4,2,4,3,7
M121,C-,,,,20,19,16,24,20,3.18,0.64,5,2,4,4,8
M121,B,,670,520,28,19,30,20,24,3.4,,2,2,3,4,7
M121,B-,,,,21,19,27,21,22,3.12,,4,1,,,
M121,C-,,,,26,19,28,22,24,2.89,0.61,5,2,5,2,7
M121,C-,,,,28,19,29,24,25,3.62,0.84,3,1,2,3,5
M121,C-,,,,26,19,22,25,23,2.72,0.91,3,1,,,
M121,C+,,,,26,19,23,24,23,2.68,,4,2,5,5,10
M121,W,INT,,,28,18,31,17,24,3.22,,3,2,5,10,15
M121,C+,INT,,,18,18,19,17,18,3.33,0.928571429,4,2,7,7,14
M131,F,USA,,,23,18,20,17,20,3.19,0.72,5,2,7,5,12
M121,C-,USA,,,30,18,32,22,26,2.8,,3,1,,,
M121,D-,USA,,,24,18,26,21,22,3.29,,5,1,3,1,4
M121,D,USA,,,24,18,29,22,23,2.82,0.63,5,1,3,5,8
M121,D+,USA,,,10,18,13,14,14,3.38,,4,2,,,
M121,W,USA,,,18,18,16,17,17,3.67,0.981308411,4,2,5,4,9
M121,C+,USA,,,23,18,26,19,22,2.88,,3,2,7,2,9
M121,F,USA,,,28,18,24,20,23,2.74,,5,1, , ,
M121,C,USA,,,28,18,25,23,24,2.5,0.562,4,1,,,
M121,B-,,,,27,18,30,24,25,3.4,,3,2,10,3,13
M145,B,USA,,,20,17,25,21,21,3.37,0.733333333,4,3,14,10,24
M121,C+,USA,,,21,17,28,30,24,3.4,0.4,4,2,5,4,9
M121,D,USA,,,19,17,23,20,19,,,6,1,,,
M121,D,USA,470,440,20,17,28,19,21,3.57,,5,1,3,3,6
M121,C,USA,,,21,17,27,20,21,3.84,0.879888268,3,2,1,6,7
M121,B,USA,,,20,17,24,22,21,3.3,,4,2,4,6,10
M121,W,USA,,,31,17,31,22,25,2.74,0.616,5,1,3,3,6
M121,D-,USA,,,13,16,15,20,16,3.2,0.81,4,1,6,3,9
M121,W,USA,,,29,16,25,19,22,,,5,1,2,7,9
M121,A-,USA,,,26,16,27,19,22,3.43,,4,1,6,3,9
M121,W,USA,,,17,16,16,19,17,3.43,,3,1,,,
M121,W,USA,,,13,16,19,21,17,3.56,0.954545455,3,1,,,
M121,D-,USA,,,24,16,21,18,20,2.47,,5,1,8,5,13
M121,D,USA,,,20,16,23,22,20,3.47,0.902216428,4,1,3,5,8
M121,D-,USA,,,22,16,20,14,18,2.74,,4,2,2,5,7
M121,D,USA,,,31,16,31,24,26,3.08,0.67,4,2,3,5,8
M121,C-,USA,,,18,15,14,18,16,3.62,0.87,4,1,5,1,6
M121,C-,USA,,,18,15,21,18,18,2.97,0.638554217,5,2,9,8,17
M121,D-,USA,,,20,15,21,18,19,3.33,0.86407767,3,1,1,2,3
M121,C-,INT,,,,,,,,3.4,,3,4,,,
M145,C,INT,,,,,,,,3.06,,3,0,,,
M121,A,INT,,,,,,,,3.3,,4,4,10,3,13
